MODEL.01
Model after   100 iterations
ISOTROPIC
KGS
FLAT EARTH
1-D
CONSTANT VELOCITY
LINE08
LINE09
LINE10
LINE11
      H(KM)   VP(KM/S)   VS(KM/S) RHO(GM/CC)     QP         QS       ETAP       ETAS      FREFP      FREFS    
     0.0010     3.6550     1.8000     2.2579  0.100E-02  0.679E-02   0.00       0.00       1.00       1.00    
     0.0020     3.6750     1.8000     2.2615  0.100E-02  0.679E-02   0.00       0.00       1.00       1.00    
     0.0030     3.6950     1.8000     2.2651  0.100E-02  0.679E-02   0.00       0.00       1.00       1.00    
     0.0040     3.7150     1.8000     2.2687  0.100E-02  0.679E-02   0.00       0.00       1.00       1.00    
     0.0050     3.7350     1.8000     2.2723  0.100E-02  0.679E-02   0.00       0.00       1.00       1.00    
     0.0060     3.7550     1.8000     2.2759  0.100E-02  0.679E-02   0.00       0.00       1.00       1.00    
     0.0070     3.7750     1.7900     2.2795  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0080     3.7950     1.7900     2.2831  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0090     3.7800     1.7900     2.2804  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0100     3.7650     1.7900     2.2777  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0120     3.7500     1.7900     2.2750  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0140     3.7350     1.7900     2.2723  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0160     3.7200     1.7900     2.2696  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0180     3.7050     1.7900     2.2669  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0200     3.6900     1.7900     2.2642  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0220     3.6750     1.7900     2.2615  0.100E-02  0.784E-02   0.00       0.00       1.00       1.00    
     0.0240     3.6600     1.7700     2.2588  0.200E-02  0.476E-02   0.00       0.00       1.00       1.00    
     0.0260     3.6450     1.7700     2.2561  0.200E-02  0.476E-02   0.00       0.00       1.00       1.00    
     0.0280     3.6300     1.7700     2.2534  0.200E-02  0.476E-02   0.00       0.00       1.00       1.00    
     0.0300     3.6150     1.7700     2.2507  0.200E-02  0.476E-02   0.00       0.00       1.00       1.00    
     0.0330     3.6000     1.7700     2.2480  0.200E-02  0.476E-02   0.00       0.00       1.00       1.00    
     0.0360     3.5850     1.7700     2.2453  0.200E-02  0.476E-02   0.00       0.00       1.00       1.00    
     0.0390     3.5700     1.7700     2.2426  0.200E-02  0.476E-02   0.00       0.00       1.00       1.00    
     0.0420     3.5550     1.7700     2.2399  0.200E-02  0.476E-02   0.00       0.00       1.00       1.00    
